buss_no,fiscalyear,balancebf,current_balance,totalamountdue,transdate,electoralarea,assessmentby,buss_type
3225,2018,170,120,290,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3226,2018,187,120,307,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3227,2018,91,120,211,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3228,2018,220,120,340,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3229,2018,230,120,350,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3230,2018,60,120,180,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3231,2018,159,120,279,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3232,2018,198,120,318,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3233,2018,440,540,980,2018-04-10 00:00:00.000,MANKESSIM,,Pure Water Manufacturers
3235,2018,84,120,204,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3236,2018,460,300,760,2018-04-10 00:00:00.000,MANKESSIM,,Pure Water Distributors 
3238,2018,137,120,257,2018-04-10 00:00:00.000,MANKESSIM,,Mobile phone dealer
3239,2018,126,120,246,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3240,2018,187,120,307,2018-04-10 00:00:00.000,MANKESSIM,,Pampers & Sanitary Pads     Category A
3241,2018,210,120,330,2018-04-10 00:00:00.000,MANKESSIM,,Mobile phone dealer
3242,2018,220,300,520,2018-04-10 00:00:00.000,MANKESSIM,,Pure Water Distributors 
3243,2018,110,180,290,2018-04-10 00:00:00.000,MANKESSIM,,Rice/flour/sugar dealers
3246,2018,188,120,308,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3248,2018,57,100,157,2018-04-10 00:00:00.000,MANKESSIM,,Corn Millers:     Cat. B - 1 Mill 
3249,2018,187,120,307,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3250,2018,72,60,132,2018-04-10 00:00:00.000,SALTPOND,,Carpenters/Welders/Fitters/Mason/Tailors
3251,2018,36,36,72,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3252,2018,162,100,262,2018-04-10 00:00:00.000,MANKESSIM,,Corn Millers:     Cat. B - 1 Mill 
3253,2018,210,120,330,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3254,2018,192,360,552,2018-04-10 00:00:00.000,MANKESSIM,,Chop Bar/Fast food Joint
3255,2018,91,60,151,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3256,2018,60,60,120,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3257,2018,0,120,120,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3258,2018,66,60,126,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3259,2018,150,120,270,2018-04-10 00:00:00.000,MANKESSIM,,Mobile to Mobile Transfers & Credit Cards 
3260,2018,56,60,116,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3261,2018,90,60,150,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3262,2018,210,120,330,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3263,2018,78,60,138,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3264,2018,206,120,326,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3265,2018,280,180,460,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3266,2018,280,180,460,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3267,2018,120,120,240,2018-04-10 00:00:00.000,ANOMABO,,Beer / Wine / Spirit Sellers
3268,2018,480,500,980,2018-04-10 00:00:00.000,CORPORATE INSTITUTIONS,,Hospital (Private)/Pharmacists/Medical Doctor
3269,2018,0,1440,1440,2018-04-10 00:00:00.000,CORPORATE INSTITUTIONS,,Fuel Filling & Serv. Station
3270,2018,1250,1250,2500,2018-04-10 00:00:00.000,CORPORATE INSTITUTIONS,,Hospitality/Guests/Hotel/Motel Business Class A
3271,2018,920,650,1570,2018-04-10 00:00:00.000,CORPORATE INSTITUTIONS,,Hospitality/Guests/Hotel/Motel Business Class A
3272,2018,750,650,1400,2018-04-10 00:00:00.000,CORPORATE INSTITUTIONS,,Hospitality/Guests/Hotel/Motel Business Class A
3273,2018,2100,1800,3900,2018-04-10 00:00:00.000,CORPORATE INSTITUTIONS,,Salt Industry/Business Tradevco/Petuwa/Caba/Wankam
3274,2018,150,300,450,2018-04-10 00:00:00.000,CORPORATE INSTITUTIONS,,K.G to J.H.S.
3275,2018,0,120,120,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3276,2018,32,120,152,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3277,2018,1200,1440,2640,2018-04-10 00:00:00.000,CORPORATE INSTITUTIONS,,Fuel Filling & Serv. Station
3278,2018,100,120,220,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3279,2018,45,120,165,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3280,2018,110,120,230,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3281,2018,150,360,510,2018-04-10 00:00:00.000,MANKESSIM,,Chop Bar/Fast food Joint
3282,2018,145,360,505,2018-04-10 00:00:00.000,MANKESSIM,,Chop Bar/Fast food Joint
3283,2018,50,120,170,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3284,2018,-50,360,310,2018-04-10 00:00:00.000,MANKESSIM,,Chop Bar/Fast food Joint
3285,2018,30,120,150,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3286,2018,160,180,340,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3287,2018,105,180,285,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3288,2018,20,120,140,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3289,2018,130,240,370,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3290,2018,80,180,260,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3291,2018,40,240,280,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3292,2018,145,360,505,2018-04-10 00:00:00.000,MANKESSIM,,Chop Bar/Fast food Joint
3293,2018,10,120,130,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3294,2018,170,360,530,2018-04-10 00:00:00.000,MANKESSIM,,Chop Bar/Fast food Joint
3295,2018,20,120,140,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3296,2018,220,240,460,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3297,2018,90,120,210,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3298,2018,220,240,460,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3299,2018,30,60,90,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3300,2018,210,240,450,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3301,2018,110,120,230,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3302,2018,60,120,180,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3303,2018,90,120,210,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3304,2018,50,120,170,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3305,2018,40,120,160,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3306,2018,50,120,170,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Seamstress & Hairdressers with other Facilities 
3307,2018,-80,120,40,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Beer / Wine / Spirit Sellers
3308,2018,90,120,210,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Beer / Wine / Spirit Sellers
3309,2018,60,360,420,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Fetish Priest/Priestess/Herbalist    Category B
3310,2018,0,60,60,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Akpeteshie Sellers
3311,2018,60,120,180,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3312,2018,60,120,180,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Beer / Wine / Spirit Sellers
3313,2018,60,120,180,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3314,2018,70,120,190,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Beer / Wine / Spirit Sellers
3315,2018,20,120,140,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3316,2018,80,120,200,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3317,2018,70,120,190,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3318,2018,70,120,190,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Beer / Wine / Spirit Sellers
3319,2018,40,120,160,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Seamstress & Hairdressers with other Facilities 
3320,2018,120,120,240,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3321,2018,100,120,220,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3322,2018,40,60,100,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Carpenters/Welders/Fitters/Mason/Tailors
3323,2018,40,120,160,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3324,2018,70,120,190,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3325,2018,40,60,100,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Carpenters/Welders/Fitters/Mason/Tailors
3326,2018,105,120,225,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3328,2018,0,60,60,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Carpenters/Welders/Fitters/Mason/Tailors
3329,2018,90,120,210,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3331,2018,30,120,150,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Seamstress & Hairdressers with other Facilities 
3332,2018,50,120,170,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3333,2018,80,120,200,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3334,2018,10,60,70,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Carpenters/Welders/Fitters/Mason/Tailors
3335,2018,10,60,70,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Carpenters/Welders/Fitters/Mason/Tailors
3336,2018,30,60,90,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Carpenters/Welders/Fitters/Mason/Tailors
3337,2018,70,120,190,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3338,2018,40,120,160,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3339,2018,40,120,160,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Seamstress & Hairdressers with other Facilities 
3340,2018,30,120,150,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Seamstress & Hairdressers with other Facilities 
3341,2018,90,120,210,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3342,2018,50,120,170,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Seamstress & Hairdressers with other Facilities 
3343,2018,60,120,180,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3344,2018,40,60,100,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Carpenters/Welders/Fitters/Mason/Tailors
3345,2018,30,120,150,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Seamstress & Hairdressers with other Facilities 
3346,2018,0,120,120,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Seamstress & Hairdressers with other Facilities 
3347,2018,60,120,180,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,GENERAL GOODS
3348,2018,0,120,120,2018-04-10 00:00:00.000,YAMORANSA/EGUASE,,Seamstress & Hairdressers with other Facilities 
3349,2018,42,60,102,2018-04-10 00:00:00.000,SALTPOND,,Carpenters/Welders/Fitters/Mason/Tailors
3350,2018,100,120,220,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3351,2018,60,120,180,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3352,2018,0,60,60,2018-04-10 00:00:00.000,SALTPOND,,Carpenters/Welders/Fitters/Mason/Tailors
3353,2018,6,60,66,2018-04-10 00:00:00.000,SALTPOND,,Mobile to Mobile Transfers & Credit Cards 
3354,2018,78,84,162,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3355,2018,90,120,210,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3356,2018,30,120,150,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3357,2018,80,120,200,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3358,2018,0,120,120,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3359,2018,-10,120,110,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3360,2018,70,120,190,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3361,2018,70,120,190,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3362,2018,30,80,110,2018-04-10 00:00:00.000,SALTPOND,,Photographers [Roving]
3363,2018,70,120,190,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3364,2018,90,120,210,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3365,2018,60,120,180,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3366,2018,70,120,190,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3367,2018,40,60,100,2018-04-10 00:00:00.000,SALTPOND,,Carpenters/Welders/Fitters/Mason/Tailors
3368,2018,70,240,310,2018-04-10 00:00:00.000,SALTPOND,,TV & Electrical Appliance               Category  
3369,2018,70,120,190,2018-04-10 00:00:00.000,SALTPOND,,Beer / Wine / Spirit Sellers
3370,2018,0,120,120,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3371,2018,50,120,170,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3372,2018,120,300,420,2018-04-10 00:00:00.000,SALTPOND,,Provision Store
3373,2018,40,120,160,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3374,2018,40,120,160,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3375,2018,20,120,140,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3377,2018,90,120,210,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3378,2018,0,120,120,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3379,2018,20,120,140,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3380,2018,70,120,190,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3381,2018,40,120,160,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3382,2018,90,120,210,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3383,2018,80,240,320,2018-04-10 00:00:00.000,SALTPOND,,TV & Electrical Appliance               Category  
3384,2018,160,180,340,2018-04-10 00:00:00.000,SALTPOND,,Provision Store
3385,2018,60,120,180,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3387,2018,70,120,190,2018-04-10 00:00:00.000,SALTPOND,,Refrigerator/Phone/Generators Repaires
3388,2018,10,60,70,2018-04-10 00:00:00.000,SALTPOND,,Carpenters/Welders/Fitters/Mason/Tailors
3389,2018,80,120,200,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3390,2018,70,120,190,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3391,2018,80,240,320,2018-04-10 00:00:00.000,SALTPOND,,TV & Electrical Appliance               Category  
3392,2018,40,120,160,2018-04-10 00:00:00.000,SALTPOND,,Seamstress & Hairdressers with other Facilities 
3393,2018,84,120,204,2018-04-10 00:00:00.000,SALTPOND,,Beer / Wine / Spirit Sellers
3394,2018,100,120,220,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3395,2018,80,120,200,2018-04-10 00:00:00.000,SALTPOND,,GENERAL GOODS
3396,2018,-70,120,50,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3397,2018,100,120,220,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3398,2018,24,60,84,2018-04-10 00:00:00.000,ANOMABO,,Carpenters/Welders/Fitters/Mason/Tailors
3399,2018,0,60,60,2018-04-10 00:00:00.000,ANOMABO,,Akpeteshie Sellers
3400,2018,20,120,140,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3402,2018,48,120,168,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3403,2018,110,120,230,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3404,2018,90,120,210,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3405,2018,40,120,160,2018-04-10 00:00:00.000,ANOMABO,,Seamstress & Hairdressers with other Facilities 
3406,2018,35,60,95,2018-04-10 00:00:00.000,ANOMABO,,Barber
3407,2018,200,300,500,2018-04-10 00:00:00.000,ANOMABO,,Hard-Ware 
3408,2018,60,120,180,2018-04-10 00:00:00.000,ANOMABO,,Beer / Wine / Spirit Sellers
3409,2018,70,120,190,2018-04-10 00:00:00.000,ANOMABO,,Beer / Wine / Spirit Sellers
3410,2018,70,120,190,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3411,2018,60,120,180,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3412,2018,40,100,140,2018-04-10 00:00:00.000,ANOMABO,,Corn Millers:     Cat. B - 1 Mill 
3413,2018,100,120,220,2018-04-10 00:00:00.000,ANOMABO,,GENERAL GOODS
3414,2018,-20,120,100,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3415,2018,55,180,235,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3416,2018,110,120,230,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3417,2018,10,120,130,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3418,2018,-40,120,80,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3419,2018,0,120,120,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3420,2018,70,120,190,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3421,2018,10,60,70,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3422,2018,110,120,230,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3423,2018,50,120,170,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3424,2018,20,120,140,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3425,2018,0,300,300,2018-04-10 00:00:00.000,MANKESSIM,,Provision Store
3426,2018,40,120,160,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3427,2018,100,120,220,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3428,2018,40,60,100,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3429,2018,100,120,220,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3430,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3431,2018,70,120,190,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3432,2018,40,120,160,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3433,2018,10,60,70,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3434,2018,20,60,80,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3435,2018,40,120,160,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3436,2018,60,180,240,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3437,2018,160,180,340,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3438,2018,98,120,218,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3439,2018,40,60,100,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3440,2018,80,120,200,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3441,2018,40,60,100,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3442,2018,50,120,170,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3443,2018,50,120,170,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3444,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3445,2018,110,120,230,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3446,2018,110,120,230,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3447,2018,0,60,60,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3448,2018,55,60,115,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3449,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3450,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3451,2018,55,60,115,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3452,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3453,2018,0,60,60,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3454,2018,30,60,90,2018-04-10 00:00:00.000,MANKESSIM,,Barber
3455,2018,160,180,340,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3456,2018,80,120,200,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3457,2018,50,120,170,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3458,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3459,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3460,2018,-80,120,40,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3461,2018,-10,240,230,2018-04-10 00:00:00.000,MANKESSIM,,TV & Electrical Appliance               Category  
3462,2018,0,120,120,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3463,2018,-20,180,160,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3464,2018,130,180,310,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3465,2018,140,180,320,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3466,2018,150,200,350,2018-04-10 00:00:00.000,MANKESSIM,,Small Spare Parts Shop
3467,2018,40,60,100,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3468,2018,0,60,60,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3469,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3470,2018,40,60,100,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3471,2018,40,60,100,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3472,2018,40,60,100,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3473,2018,0,120,120,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3474,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3475,2018,30,60,90,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3476,2018,40,120,160,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3477,2018,80,180,260,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3478,2018,10,60,70,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3479,2018,100,180,280,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3480,2018,100,180,280,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3481,2018,0,60,60,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3482,2018,20,120,140,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3483,2018,40,120,160,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3484,2018,30,60,90,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3485,2018,30,120,150,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3486,2018,80,120,200,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3487,2018,30,120,150,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3488,2018,0,60,60,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3489,2018,30,60,90,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3490,2018,10,60,70,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3491,2018,50,120,170,2018-04-10 00:00:00.000,MANKESSIM,,Seamstress & Hairdressers with other Facilities 
3492,2018,130,180,310,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3493,2018,20,60,80,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
3494,2018,110,120,230,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3495,2018,40,120,160,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3496,2018,70,120,190,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3497,2018,110,120,230,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3498,2018,100,120,220,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3499,2018,110,120,230,2018-04-10 00:00:00.000,MANKESSIM,,GENERAL GOODS
3500,2018,50,60,110,2018-04-10 00:00:00.000,MANKESSIM,,Carpenters/Welders/Fitters/Mason/Tailors
